9, 77, 2.0, 3
9, 57, 14.0, 1
77, 79, 2.5, 3
79, 11, 5.5, 3
11, 64, 7.5, 3
64, 16, 6.0, 3
16, 55, 2.5, 3
55, 39, 6.0, 3
39, 27, 6.5, 3
27, 60, 5.0, 3
60, 29, 7.0, 3
29, 37, 5.0, 3
37, 81, 6.0, 3
81, 70, 4.5, 3
70, 38, 4.5, 3
70, 69, 3.5, 2
81, 38, 4.5, 3
38, 3, 6.5, 3
3, 4, 5.5, 3
4, 56, 5.5, 3
56, 0, 6.5, 3
0, 48, 4.5, 3
48, 25, 3.5, 3
25, 19, 2.5, 3
19, 18, 5.0, 3
18, 20, 4.0, 3
20, 80, 4.0, 3
80, 73, 9.5, 2
73, 15, 5.5, 2
15, 14, 6.0, 2
80, 53, 6.5, 3
53, 52, 2.5, 3
52, 71, 3.5, 2
52, 17, 4.0, 3
53, 57, 57.0, 1
4, 2, 2.5, 2
2, 32, 3.5, 2
32, 51, 2.5, 2
51, 6, 2.5, 2
6, 5, 2.5, 2
57, 59, 3.5, 2
59, 58, 2.5, 3
58, 40, 5.5, 3
40, 54, 6.0, 3
54, 42, 7.5, 3
42, 63, 5.0, 2
63, 47, 5.5, 2
42, 65, 9.0, 3
65, 63, 5.0, 2
42, 43, 6.0, 3
43, 22, 6.0, 3
22, 21, 5.0, 1
21, 34, 9.0, 1
34, 62, 9.0, 1
62, 50, 2.5, 1
62, 67, 3.0, 1
50, 67, 2.5, 1
22, 7, 4.5, 2
7, 59, 4.5, 2
7, 8, 3.5, 2
59, 8, 4.5, 2
8, 74, 3.0, 2
74, 10, 3.5, 2
22, 72, 7.0, 3
72, 10, 7.0, 3
10, 79, 5.5, 3
79, 78, 5.0, 3
78, 59, 6.0, 3
64, 12, 4.5, 2
12, 30, 5.5, 2
30, 35, 9.5, 2
35, 13, 8.0, 2
13, 65, 6.0, 2
65, 44, 6.0, 3
44, 45, 5.5, 3
45, 1, 5.0, 3
45, 17, 3.5, 3
17, 1, 3.5, 3
1, 41, 6.0, 3
41, 46, 5.5, 3
46, 61, 4.5, 3
61, 33, 5.0, 3
33, 70, 7.0, 3
48, 26, 4.0, 2
26, 75, 2.0, 2
75, 28, 4.0, 2
28, 36, 7.5, 2
36, 31, 2.0, 2
31, 76, 7.0, 2
76, 49, 9.0, 2
49, 46, 4.5, 2
46, 66, 3.0, 1
66, 68, 5.0, 1
68, 24, 3.0, 1
24, 23, 1.5, 1
82, 52, 6.0, 3
82, 73, 5.0, 3
